"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Y’all I made my first glossier purchase today hehe",FALSE,0,NA,2019-04-07 04:23:44,FALSE,NA,"1114745549016555521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","playboytaetae_",0,FALSE,FALSE,NA,NA
"2","RT @bbyhnyhs: Felt cute here might delete later! @glossier 📸:@bbyhnyhs https://t.co/gWHKhiZUJY",FALSE,0,NA,2019-04-07 04:22:15,FALSE,NA,"1114745176973406209",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bizylin",1,TRUE,FALSE,NA,NA
"3","this is @glossier birthday balm dot com in an ice cream https://t.co/ErRmlF4N87",FALSE,0,NA,2019-04-07 04:06:26,FALSE,NA,"1114741193911472128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","whitesidesloofa",0,FALSE,FALSE,NA,NA
"4","@LBChandley @glossier glossier is the real MVP and they gave me store credit and i was able to replace it

my heroes",FALSE,0,"LBChandley",2019-04-07 04:03:26,FALSE,"1114699274133151744","1114740439817621505","181312689","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","roxymoure",0,FALSE,FALSE,NA,NA
"5","RT @ladyunyko: PUFF Glossier Cloud Paint https://t.co/GucQw6ka4s
#beauty #Deals #Sales #onlinestore #makeupartist #blush #makeup #freeshipp…",FALSE,0,NA,2019-04-07 04:02:09,FALSE,NA,"1114740118311591936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ladyunyko",3,TRUE,FALSE,NA,NA
"6",".@glossier's new line is for the girl who loves experimenting https://t.co/5SYjKBgnSI",FALSE,1,NA,2019-04-07 04:00:03,FALSE,NA,"1114739588889706497",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","CRFASHIONBOOK",0,FALSE,FALSE,NA,NA
"7","@McKennaHB_ @glossier No idea what most of those words mean but I'm sure the correct reply is: don't eat it",FALSE,0,"McKennaHB_",2019-04-07 03:55:26,FALSE,"1111824622012424192","1114738427872841734","800210216017018881","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","eeeyikesman",0,FALSE,FALSE,NA,NA
"8","@Loeybug GLOSSIER MAMAZ",FALSE,0,"Loeybug",2019-04-07 03:54:45,FALSE,"1114718401820229635","1114738256858337282","343506894","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SpookyShayna",0,FALSE,FALSE,NA,NA
"9","glossier is just a rip off make up brand like just get some vaseline and put it on your face for “simple make up” t… https://t.co/F3hRLch8mt",FALSE,0,NA,2019-04-07 03:54:20,TRUE,NA,"1114738148267970561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","helenberthott",0,FALSE,FALSE,NA,NA
"10","glossier is just $40 vaseline in different tubes",FALSE,1,NA,2019-04-07 03:54:15,FALSE,NA,"1114738128781283328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","juliabear1998",0,FALSE,FALSE,NA,NA
"11","Last night I asked my bf what perfume I should wear and he said “that good stuff”... Glossier You, it is then. @glossier",FALSE,0,NA,2019-04-07 03:49:43,FALSE,NA,"1114736989092417539",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rachvgreenwood",0,FALSE,FALSE,NA,NA
"12","@Addleysmom @glossier @YouTube Thank you so much for watching and sharing!! Hope you love the highlight 🤗",FALSE,0,"Addleysmom",2019-04-07 03:44:21,FALSE,"1114660519347204097","1114735637335355393","95417426","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DailyBaileyB",0,FALSE,FALSE,NA,NA
"13","Glossier is a makeup brand for bitches that already looked cute before they put makeup on",FALSE,0,NA,2019-04-07 03:37:59,FALSE,NA,"1114734036465979392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hickermanzooble",0,FALSE,FALSE,NA,NA
"14","@glossier would it be a good idea to put my glossier skincare products in the fridge?",FALSE,0,"glossier",2019-04-07 03:34:56,FALSE,NA,"1114733267536760832","2610470250","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ODonnell_Liv",0,FALSE,FALSE,NA,NA
