"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","The Best Vegan Face Masks Around: Milk Makeup https://t.co/YgqCsJfe7o https://t.co/t8PzzTepj8",FALSE,0,NA,2019-04-07 14:43:51,FALSE,NA,"1114901607999770624",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","LeeLeemorrison3",0,FALSE,FALSE,NA,NA
"2","🚨 NEW MILK MAKEUP LOOKS VIDEO 🚨 DROPS TODAY!

🚨 NEW MILK MAKEUP LOOKS VIDEO 🚨 DROPS TODAY!

...and we teamed up wit… https://t.co/VeysydoBPo",FALSE,7,NA,2019-04-07 14:26:50,TRUE,NA,"1114897324285861888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","milkmakeup",1,FALSE,FALSE,NA,NA
"3","bitches with bad skin shouldn’t buy milk makeup because it won’t suit them. 

i’m bitches 🤕",FALSE,0,NA,2019-04-07 13:31:36,FALSE,NA,"1114883425515663362",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","annakatrinag",0,FALSE,FALSE,NA,NA
"4","Weeding out dryness, blemishes and irritation, Milk Makeup’s Cannabis Face Mask is 🌿 COMING SOON! 🌿 Sign up to our… https://t.co/3GzE3S1jOj",FALSE,6,NA,2019-04-07 13:00:37,TRUE,NA,"1114875628287922177",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","cultbeauty",0,FALSE,FALSE,NA,NA
"5","me: can’t go vegan yet as my mum provides all my meals and buys all my food

Also me: is vegetarian, only wears cru… https://t.co/frYkAoZU9p",FALSE,3,NA,2019-04-07 12:16:15,TRUE,NA,"1114864461041393666",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","handofgodoutro",0,FALSE,FALSE,NA,NA
"6","24. Milk's androgynous style 💖 Sasha's artistry 🎨 Violet's elegance ✨ and Shea's MUG (she's also in my fave makeup) 💕",FALSE,1,"rnrxs",2019-04-07 12:12:37,FALSE,"1114861894408462336","1114863545273868289","548224455","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rnrxs",0,FALSE,FALSE,NA,NA
"7","RT @ItsMeHollowx: Untangled all the strings round my wings 
They were tied 

You give me butterflies 🦋 

Look inspired by the amazing song…",FALSE,0,NA,2019-04-07 12:06:06,FALSE,NA,"1114861906022600704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cin_does_makeup",10,TRUE,FALSE,NA,NA
"8","Check out Vtg. triple tier 11"" inch Hobnail milk glass makeup table lamp.  https://t.co/PPyqkuhmrW via @eBay… https://t.co/PM2KfcQEbK",FALSE,0,NA,2019-04-07 08:18:50,TRUE,NA,"1114804713910951936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","1littlebirdy",0,FALSE,FALSE,NA,NA
"9","RT @jokesuk: I hate women who put their makeup on whilst driving. On the way to work this morning a woman crossed 3 lanes without watching…",FALSE,0,NA,2019-04-07 08:02:36,FALSE,NA,"1114800629392789506",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","scotty5times",36,TRUE,FALSE,NA,NA
"10","Holo highlighter from Milk Makeup is da bombbbb + it's cruelty-free!",FALSE,0,NA,2019-04-07 05:59:10,FALSE,NA,"1114769566142423040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abbycamms",0,FALSE,FALSE,NA,NA
"11","Milk Makeup Holographic Highlighter Stick in Mars Travel Size .25oz coupons ❤️ Promotions $7.95. Best deals Health… https://t.co/g8SGMOzEwB",FALSE,0,NA,2019-04-07 05:59:09,TRUE,NA,"1114769560627032065",NA,"<a href=""https://oc2o.com"" rel=""nofollow"">oc2o</a>","on2offline",0,FALSE,FALSE,NA,NA
"12","What are your favorite makeup brands? — Tarte(!!!!!!), NYX, too faced, anastasia, milk! https://t.co/n7A4X3lD0l",FALSE,5,NA,2019-04-07 05:51:21,FALSE,NA,"1114767600188260353",NA,"<a href=""https://curiouscat.me"" rel=""nofollow"">Curious Cat</a>","lostintay",0,FALSE,FALSE,NA,NA
"13","wow milk makeup’s kush mascara DID NOT smudge on me I’m impressed",FALSE,0,NA,2019-04-07 05:37:30,FALSE,NA,"1114764111730995200",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kaseydillas",0,FALSE,FALSE,NA,NA
"14","@shayborough @KailLowry Milk makeup cooling water",FALSE,1,"shayborough",2019-04-07 05:35:40,FALSE,"1114646796108800001","1114763650944749568","798301742203076609","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BrownBaggs",0,FALSE,FALSE,NA,NA
"15","RT @behappyhazza: harry is a glossier and milk makeup bitch let's be honest",FALSE,0,NA,2019-04-07 03:07:50,FALSE,NA,"1114726449540288512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","madisonfl0res",2,TRUE,FALSE,NA,NA
"16","the only thing that can defeat the milk makeup stamps are tears",FALSE,1,NA,2019-04-07 01:17:08,FALSE,NA,"1114698588137848834",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","emmazzzing",0,FALSE,FALSE,NA,NA
"17","when are they gonna start selling milk makeup in the UK are we a joke to them",FALSE,0,NA,2019-04-07 00:42:50,FALSE,NA,"1114689958869131267",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","possiblyraine",0,FALSE,FALSE,NA,NA
"18","Fenty BODY LAVA?! Milk HydroGrip Primer...? Trying New Makeup! | Jackie ... https://t.co/f1ktKs324b via @YouTube",FALSE,0,NA,2019-04-06 23:45:55,FALSE,NA,"1114675634670907392",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ThisizDiva",0,FALSE,FALSE,NA,NA
"19","THE MILK MAKEUP HYDRO GRIP PRIMER IS THAT BITCH",FALSE,3,NA,2019-04-06 23:37:29,FALSE,NA,"1114673513707839489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dragontaeiIs",0,FALSE,FALSE,NA,NA
"20","@taIizzle you mean milk makeup?",FALSE,0,"taIizzle",2019-04-06 23:02:31,FALSE,"1114663972572205056","1114664712208359429","765548508564844544","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JennaChami",0,FALSE,FALSE,NA,NA
"21","RT @behappyhazza: harry is a glossier and milk makeup bitch let's be honest",FALSE,0,NA,2019-04-06 22:13:58,FALSE,NA,"1114652493483397120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","guccibesitos",2,TRUE,FALSE,NA,NA
"22","harry is a glossier and milk makeup bitch let's be honest",FALSE,23,NA,2019-04-06 22:12:04,FALSE,NA,"1114652016121458690",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","behappyhazza",2,FALSE,FALSE,NA,NA
"23","anyways .. taking suggestions on dupes before I go make this terrible decision. (No milk makeup, LA girl, or Laura mercier)",FALSE,8,"ahglam_",2019-04-06 21:15:09,FALSE,"1114637078736920579","1114637690987843584","141402769","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ahglam_",0,FALSE,FALSE,NA,NA
"24","Check out Vtg. triple tier 11"" inch Hobnail milk glass makeup table lamp.  https://t.co/QRxs8FsFZE via @eBay",FALSE,0,NA,2019-04-06 19:50:12,FALSE,NA,"1114616315518554113",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","1littlebirdy",0,FALSE,FALSE,NA,NA
"25","@ranasdoradas RIGHT? Sus potes son minimos :( also im mad que milk makeup no tiene delivery internacional",FALSE,1,"ranasdoradas",2019-04-06 19:22:54,FALSE,"1114607315397820416","1114609444833329152","2768687612","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yvessaintsatan",0,FALSE,FALSE,NA,NA
"26","RT @JustinLambchop: New makeup I've tried this week that I'm loving:
-Milk primer
-Milk lip balm
-Makeup revolution concealer
-Fenty lip gl…",FALSE,0,NA,2019-04-06 19:07:53,FALSE,NA,"1114605665044062208",NA,"<a href=""https://steflai.github.io/aboutmilk/"" rel=""nofollow"">about_milk_bot</a>","milkbot4",1,TRUE,FALSE,NA,NA
"27","New makeup I've tried this week that I'm loving:
-Milk primer
-Milk lip balm
-Makeup revolution concealer
-Fenty lip gloss",FALSE,4,NA,2019-04-06 19:03:44,FALSE,NA,"1114604620666380288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JustinLambchop",1,FALSE,FALSE,NA,NA
"28","abh &amp; milk makeup are by far my fave brands ever i’m obsessed with milk",FALSE,2,NA,2019-04-06 18:59:55,FALSE,NA,"1114603661739429888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","slimekitten",0,FALSE,FALSE,NA,NA
"29","i got a mini milk makeup cooling stick so i can de-puff my eyes when i've been crying in public #thriving",FALSE,1,NA,2019-04-06 17:20:07,FALSE,NA,"1114578546196873216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ForesstFox",0,FALSE,FALSE,NA,NA
"30","@peterdaou I don't have to shave my legs. I don't consider wearing makeup. My hair style is the same as it has been… https://t.co/TWA28hBtM2",FALSE,2,"peterdaou",2019-04-06 13:55:17,TRUE,"1114517534588403712","1114526997760360448","18464266","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Onanonehand",1,FALSE,FALSE,NA,NA
"31","RT @InStyle: .@MilkMakeup's pink highlighter stick is the secret to your no-makeup look: https://t.co/DssgEboi0Y",FALSE,0,NA,2019-04-06 13:48:24,FALSE,NA,"1114525262786564097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","summer81",4,TRUE,FALSE,NA,NA
"32","RT @InStyle: .@MilkMakeup's pink highlighter stick is the secret to your no-makeup look: https://t.co/DssgEboi0Y",FALSE,0,NA,2019-04-06 13:40:22,FALSE,NA,"1114523240381083648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","blueber1975",4,TRUE,FALSE,NA,NA
"33",".@MilkMakeup's pink highlighter stick is the secret to your no-makeup look: https://t.co/DssgEboi0Y",FALSE,17,NA,2019-04-06 13:21:00,FALSE,NA,"1114518368072159232",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","InStyle",4,FALSE,FALSE,NA,NA
"34","3. Lipen 
-Pixy Lipcream mild peach 
diombre
-Maybelline the powdermattes yg honey cherry (bag dalem) 
Oya skinker… https://t.co/GARq2DiOYn",FALSE,0,"adeamaliahf",2019-04-06 09:15:37,TRUE,"1114455049109774336","1114456617460748288","1045157861574070273","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adeamaliahf",0,FALSE,FALSE,NA,NA
