"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","🚨 NEW MILK MAKEUP LOOKS VIDEO 🚨 DROPS TODAY!

🚨 NEW MILK MAKEUP LOOKS VIDEO 🚨 DROPS TODAY!

...and we teamed up wit… https://t.co/VeysydoBPo",FALSE,10,NA,2019-04-07 14:26:50,TRUE,NA,"1114897324285861888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","milkmakeup",2,FALSE,FALSE,NA,NA
"2","@bettycarlyle yes on 4/11! 💚",FALSE,0,"bettycarlyle",2019-04-02 16:53:15,FALSE,"1112825821046210560","1113122229729087490","841970256","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","milkmakeup",0,FALSE,FALSE,NA,NA
"3","WANTED: CANNABIS MASK
Reward: Hydrated Skin

Available NOW on https://t.co/TkHC9TIiOk and https://t.co/Ea4qrYEs0T a… https://t.co/79BsgUTg5y",FALSE,72,NA,2019-04-02 15:28:09,TRUE,NA,"1113100815978389506",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","milkmakeup",13,FALSE,FALSE,NA,NA
"4","Kicking off our MONTH OF KUSH with our 🚨NEW🚨 #cannabismask for highdrated skin available TOMORROW

It instantly moi… https://t.co/xWMuRuoenc",FALSE,341,NA,2019-04-01 21:10:11,TRUE,NA,"1112824501111320577",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","milkmakeup",58,FALSE,FALSE,NA,NA
"5","RT @jackieaina: as in it’s amazing https://t.co/KfVLn9sU4e",FALSE,0,NA,2019-03-31 01:04:54,FALSE,NA,"1112158796883873792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","milkmakeup",153,TRUE,FALSE,NA,NA
"6","RT @cduffield20: I truly love the @milkmakeup Kush line. I’ve gone through two mascaras and picked up another balm today. My eyebrows stay…",FALSE,0,NA,2019-03-28 20:57:04,FALSE,NA,"1111371652170801153",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","milkmakeup",1,TRUE,FALSE,NA,NA
"7","For ur viewing pleasure: #eyepigment in Rave + Rager

HIT THE LINK for a full LEWK with our fave cream shadow 👀… https://t.co/JgGiRJjdjX",FALSE,56,NA,2019-03-26 20:32:22,TRUE,NA,"1110640658237321217",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","milkmakeup",5,FALSE,FALSE,NA,NA
"8","Get trippy for #FESTIVAL SEASON with this makeup look featuring some of your favorite headliners: 
⚡️#hydrogrip
⚡️… https://t.co/uzeaxrQSki",FALSE,24,NA,2019-03-25 19:08:15,TRUE,NA,"1110257102893842433",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","milkmakeup",0,FALSE,FALSE,NA,NA
"9","It's never a bad trip when it comes to #hydrogrip 😉

Our #festival-season look ""TRIPPY"" is out now on YouTube! Give… https://t.co/Yz0lLWOBXD",FALSE,44,NA,2019-03-24 20:19:00,TRUE,NA,"1109912518430879745",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","milkmakeup",3,FALSE,FALSE,NA,NA
"10","May your lips be as full as your belly 👅

Peep the link to see how you can get FULLER LIPS using all #milkmakeup pr… https://t.co/dtgdMmexQu",FALSE,50,NA,2019-03-21 22:32:00,TRUE,NA,"1108858826307129346",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","milkmakeup",9,FALSE,FALSE,NA,NA
